rad,pmax,pmin,pmed,tmax,tmin,tmed,tomax,tomin,tomed,prec,urar,urmax,urmin,ventodir,rajada,ventovel
,1023.03,1002.71,0.016845238095238094,30.1,9.7,18.20654761904762,18.5,7.2,13.939880952380953,5.3,77.9327380952381,96.0,39.0,213.50595238095238,27.4,2.6827380952380953
,1022.01,1005.42,-0.022142857142857145,25.0,12.6,18.176190476190477,18.3,10.1,14.6375,38.1,80.84345238095239,97.0,51.0,182.61904761904762,25.7,2.5904761904761906
,1026.41,1013.55,0.004404761904761904,25.0,13.0,16.914285714285715,17.4,10.9,14.738095238095237,196.5,87.73035714285714,97.0,56.0,164.32738095238096,29.0,2.7839285714285715
,1033.19,1004.06,0.06265060240963854,25.2,6.6,16.746385542168674,18.6,0.4,12.682530120481928,32.0,78.1078313253012,96.0,33.0,218.66867469879517,27.4,2.7313253012048193
,1028.78,1010.84,0.012261904761904757,26.4,11.3,18.78452380952381,19.1,5.2,15.611309523809522,12.9,82.75654761904762,96.0,58.0,211.64880952380952,33.8,2.4785714285714286
,1031.16,1011.18,-0.012083333333333331,24.7,8.1,16.573809523809523,17.3,2.1,10.969047619047618,1.6,70.80357142857143,96.0,38.0,170.33333333333334,27.4,4.054166666666667
,1028.45,1004.74,-0.029821428571428575,33.3,11.6,18.38095238095238,21.4,7.8,14.573214285714286,26.9,79.72738095238095,97.0,44.0,175.36309523809524,30.6,2.8041666666666667
,1026.75,1010.84,-0.018734939759036146,26.8,12.4,17.573493975903613,18.3,10.2,13.804819277108432,41.3,79.61265060240964,97.0,50.0,195.50602409638554,30.6,2.510843373493976
,1021.67,1004.4,0.0010714285714285697,26.1,10.3,18.276785714285715,18.5,3.9,12.94702380952381,26.3,73.0,96.0,31.0,184.88095238095238,24.1,2.5845238095238097
,1024.72,1011.85,0.00023809523809524094,28.4,14.7,19.116666666666667,19.7,9.1,14.408333333333333,4.7,75.18154761904762,95.0,43.0,172.33333333333334,25.7,2.7446428571428574
,1023.03,1001.36,0.022380952380952387,26.8,13.6,19.45297619047619,19.1,7.9,14.961904761904762,23.799999999999997,76.47083333333333,96.0,42.0,183.36904761904762,37.0,3.4267857142857148
,1027.43,1010.84,-0.04130952380952381,27.5,12.3,18.773809523809526,20.5,10.3,16.754761904761907,161.0,88.525,98.0,61.0,204.13095238095238,22.5,2.730952380952381
,1021.0,1002.03,0.02083333333333333,32.4,17.8,21.92142857142857,21.1,14.6,17.811904761904763,10.5,78.66011904761905,96.0,45.0,191.6904761904762,32.2,3.025
,1018.96,998.65,-0.0886904761904762,35.1,17.2,23.51547619047619,22.7,12.6,18.12202380952381,5.800000000000001,73.26726190476191,93.0,31.0,203.92261904761904,24.1,3.088095238095238
,1028.11,1002.03,0.12000000000000001,27.6,14.1,19.200819672131146,20.7,8.5,12.48360655737705,1.3,66.3860655737705,90.0,38.0,217.05737704918033,37.0,5.418852459016394
,1020.32,1008.47,-0.08990000000000002,30.0,17.6,23.401960784313726,20.8,11.6,17.458823529411763,80.0,70.9235294117647,91.0,40.0,146.42156862745097,20.9,2.7607843137254906
,1019.64,1003.39,0.028273809523809524,33.3,15.8,23.73154761904762,26.8,6.8,16.161309523809525,1.6,65.16964285714286,100.0,26.0,133.33928571428572,22.5,2.6880952380952383
,1017.95,1008.47,0.011904761904761904,29.7,19.3,23.388095238095236,22.1,14.2,19.083928571428572,80.6,77.77261904761905,92.0,42.0,166.35714285714286,33.8,5.3464285714285715
,1016.26,1004.4,-0.04136904761904762,31.9,19.7,24.27857142857143,24.2,17.5,21.43095238095238,270.7,84.66428571428571,94.0,60.0,137.54761904761904,29.0,4.476785714285715
,1013.55,1005.08,0.009083333333333334,31.5,19.3,25.276666666666664,23.7,17.9,21.035833333333336,32.3,78.25583333333334,94.0,54.0,167.63333333333333,24.1,2.9791666666666665
,1005.08,998.31,0.6963636363636364,39.7,21.4,28.99090909090909,23.5,18.4,21.263636363636365,3.8999999999999995,66.41818181818182,88.0,38.0,125.18181818181819,27.4,5.5181818181818185
,1017.27,1011.85,-0.01485074626865672,30.0,17.5,22.88731343283582,21.6,14.7,18.456716417910446,33.4,77.66119402985075,95.0,45.0,154.1417910447761,27.4,2.8380597014925373
