rad,pmax,pmin,pmed,tmax,tmin,tmed,tomax,tomin,tomed,prec,urar,urmax,urmin,ventodir,rajada,ventovel
,1018.96,1016.26,-0.014583333333333332,29.6,15.1,20.679166666666667,19.5,14.0,16.579166666666666,0.5,79.02083333333333,93.0,52.0,267.6666666666667,12.9,0.39166666666666666
,1019.3,1015.92,-0.07083333333333335,27.5,15.8,20.845833333333335,19.3,14.8,16.9875,0.0,79.72916666666667,94.0,58.0,216.79166666666666,9.7,0.35000000000000003
,1016.93,1008.47,-0.32583333333333336,27.9,18.0,22.125,20.1,16.4,18.349999999999998,0.0,80.34166666666667,95.0,57.0,219.125,14.5,2.2041666666666666
,1009.82,1004.74,-0.15666666666666665,28.8,18.7,22.733333333333334,19.4,15.9,17.870833333333334,3.5999999999999996,74.92916666666666,88.0,48.0,208.29166666666666,16.1,1.9375
,1013.88,998.31,0.3558333333333334,29.4,18.6,21.77916666666667,20.8,14.9,16.904166666666665,1.1,74.46666666666667,88.0,50.0,165.33333333333334,16.1,2.725
,1019.3,1013.88,0.21250000000000002,27.6,16.5,21.708333333333332,19.6,14.9,17.474999999999998,0.0,77.74166666666666,94.0,61.0,226.83333333333334,17.7,2.4791666666666665
,1019.3,1013.55,-0.16833333333333333,27.7,22.0,24.058333333333334,21.4,18.6,20.099999999999998,0.0,78.9375,86.0,67.0,204.20833333333334,24.1,5.854166666666667
,1015.92,1010.84,-0.1125,27.5,21.5,24.045833333333334,22.3,20.1,21.079166666666666,0.0,83.97083333333333,92.0,69.0,218.625,17.7,3.7083333333333335
,1013.55,1009.48,-0.015833333333333328,29.6,22.9,24.833333333333332,23.7,21.2,22.0,0.3,84.67083333333333,94.0,68.0,211.04166666666666,19.3,5.058333333333334
,1016.93,1008.81,0.21208333333333332,34.3,19.6,25.1375,24.1,16.9,21.004166666666666,12.0,79.44583333333334,94.0,53.0,171.125,29.0,4.125
,1023.03,1016.59,0.2579166666666667,23.2,17.7,20.679166666666667,18.4,13.8,16.041666666666668,0.0,75.075,92.0,64.0,68.41666666666667,22.5,4.95
,1022.69,1015.58,-0.29875,22.0,17.5,19.537499999999998,17.2,13.6,15.370833333333332,0.0,77.23333333333333,88.0,65.0,195.33333333333334,6.4,0.06666666666666667
,1015.58,1009.48,-0.042916666666666665,28.2,18.8,21.295833333333334,21.7,16.2,18.3875,5.7,84.03750000000001,93.0,65.0,149.125,16.1,0.9624999999999999
,1017.95,1013.88,0.07083333333333333,20.1,17.3,18.466666666666665,17.2,16.2,16.820833333333333,35.2,90.38333333333333,95.0,83.0,96.54166666666667,12.9,0.4875
,1016.26,1010.84,-0.19833333333333333,18.5,17.7,18.1625,17.8,16.6,17.2625,114.5,94.72083333333335,97.0,91.0,99.83333333333333,25.7,0.47500000000000003
,1011.18,1006.77,0.0,22.9,18.3,20.25,19.2,17.6,18.416666666666668,39.9,89.4875,97.0,77.0,99.58333333333333,33.8,3.220833333333333
,1019.64,1010.84,0.34041666666666665,25.4,17.8,20.345833333333335,18.4,12.7,15.858333333333334,2.9000000000000004,76.37916666666666,93.0,57.0,49.291666666666664,22.5,4.470833333333333
,1023.03,1019.3,0.12750000000000003,25.8,12.8,18.866666666666667,15.7,11.1,13.479166666666666,0.0,72.33749999999999,92.0,50.0,104.79166666666667,11.3,0.23750000000000002
,1024.38,1021.0,0.0425,26.5,15.4,19.608333333333334,16.3,12.0,14.066666666666668,0.0,71.86666666666666,88.0,46.0,102.08333333333333,8.0,0.041666666666666664
