rad,p_estacao,p_mar,pmax,pmin,t_seco,tmax,tmin,t_orvalho,tomax,tomin,prec,urar,urmax,urmin,ventodir,rajada,ventovel
470.7392857142857,1017.5607142857143,1018.3428571428572,1022.6,1011.0,19.183928571428574,25.3,11.3,15.047023809523811,19.8,9.7,0.6000000000000001,77.69047619047619,94.0,52.0,187.88095238095238,14.9,1.3833333333333333
360.2568862275449,1019.3574850299402,1020.1532934131737,1024.4,1013.4,17.982035928143713,23.9,10.2,14.886826347305389,19.7,5.7,137.6,83.06586826347305,94.0,40.0,184.82634730538922,9.8,1.2131736526946106
290.87083333333334,1021.4535714285715,1022.2535714285715,1026.3,1017.4,15.539880952380951,22.4,10.0,11.526785714285714,15.9,5.5,109.2,77.98809523809524,94.0,48.0,199.0297619047619,11.8,1.4583333333333333
381.0345238095238,1018.7565476190476,1019.5529761904761,1026.6,1010.7,17.57202380952381,25.5,11.8,14.47857142857143,18.5,10.5,3.6,82.60714285714286,93.0,58.0,225.69642857142858,14.0,1.2601190476190476
463.0305389221557,1024.0862275449101,1024.88622754491,1029.4,1017.2,13.721556886227544,22.4,6.2,8.603592814371257,15.1,-1.3,49.6,73.34730538922156,93.0,33.0,213.31736526946108,12.2,1.4365269461077845
488.67261904761904,1022.3380952380952,1023.1339285714286,1027.1,1016.8,16.96011904761905,25.5,11.4,13.304761904761904,17.1,7.3,10.200000000000001,80.38095238095238,94.0,32.0,202.89285714285714,6.9,0.763095238095238
429.68095238095236,1017.367261904762,1018.1607142857143,1023.7,1010.7,17.98095238095238,25.8,10.5,13.122619047619047,17.3,-8.5,3.8,76.20833333333333,93.0,16.0,206.8154761904762,12.0,1.6773809523809524
599.3565476190475,1022.617857142857,1023.4166666666666,1029.8,1013.7,15.118452380952382,23.0,7.1,9.681547619047619,16.3,-5.9,0.2,72.41071428571429,94.0,25.0,197.36904761904762,10.8,1.4011904761904763
513.7472392638037,1022.1141104294479,1022.9092024539877,1032.1,1008.5,13.691411042944784,26.2,4.0,7.566871165644172,16.5,-6.6,8.0,69.03680981595092,92.0,23.0,211.66871165644173,12.3,1.5
456.82797619047625,1027.0184523809523,1027.8172619047618,1031.2,1018.7,16.807142857142857,23.8,9.5,13.954166666666667,17.8,8.0,11.8,83.80357142857143,94.0,55.0,171.20238095238096,10.9,1.2815476190476192
399.31666666666666,1021.7541666666667,1022.5541666666667,1028.0,1013.7,16.086904761904762,23.4,12.0,12.908333333333333,17.8,6.4,29.6,81.88095238095238,94.0,62.0,183.52380952380952,14.5,2.0922619047619047
545.614880952381,1016.055357142857,1016.8380952380952,1021.0,1010.0,19.35892857142857,28.3,14.8,15.588095238095239,18.3,9.6,1.0,80.38095238095238,94.0,34.0,169.6845238095238,12.7,1.625
361.6470238095238,1016.0107142857142,1016.7892857142857,1028.2,1004.8,18.219047619047622,24.6,12.1,14.62797619047619,18.3,8.8,5.4,80.14285714285714,94.0,58.0,186.17857142857142,13.1,1.6666666666666667
556.2238095238096,1019.4517857142857,1020.2410714285714,1027.3,1010.5,19.385119047619046,28.3,14.6,15.624404761904762,18.4,13.1,15.4,79.55357142857143,93.0,46.0,186.49404761904762,12.3,1.8494047619047618
518.925,1016.0327380952381,1016.8178571428571,1021.3,1008.6,19.54047619047619,25.4,14.0,15.838690476190477,19.8,7.7,49.0,79.94047619047619,92.0,48.0,171.89285714285714,12.3,1.4892857142857143
364.68690476190477,1017.6154761904761,1018.3851190476191,1028.8,1006.6,19.244642857142857,25.3,14.1,15.868452380952382,20.2,8.9,50.8,81.32738095238095,93.0,59.0,197.91071428571428,15.3,1.6339285714285714
667.9982142857143,1018.3458333333334,1019.1238095238094,1024.5,1008.0,19.514285714285716,26.4,14.0,14.688690476190475,20.2,6.7,6.4,74.61309523809524,93.0,46.0,184.57738095238096,13.9,1.8125
